Day,Muscle Mass,Anabolic Hormone,Catabolic Hormone
0,5.55,50.00,52.00
1,5.55,50.00,52.00
2,5.55,50.00,52.00
3,5.54,50.00,52.00
4,5.55,79.96,74.27
5,5.56,74.41,68.19
6,5.57,68.97,62.25
7,5.58,63.66,56.58
8,5.59,93.20,78.62
9,5.61,87.40,72.45
10,5.63,81.72,66.42
11,5.64,76.15,60.54
12,5.66,106.01,82.92
13,5.68,100.03,76.67
14,5.70,94.14,70.56
15,5.72,88.35,64.59
16,5.74,119.48,88.04
17,5.76,113.31,81.70
18,5.78,107.23,75.49
19,5.79,101.24,69.41
20,5.81,131.66,92.34
21,5.83,125.34,85.93
22,5.85,119.12,79.65
23,5.87,112.97,73.50
24,5.89,142.47,95.73
25,5.91,136.05,89.27
26,5.93,129.70,82.94
27,5.95,123.43,76.73
28,5.97,154.36,100.13
29,5.99,147.82,93.61
30,6.01,141.35,87.21
31,6.03,134.95,80.92
32,6.05,166.75,105.04
33,6.07,160.09,98.45
34,6.09,153.50,91.97
35,6.11,146.99,85.61
36,6.13,177.01,108.37
37,6.15,170.27,101.74
38,6.17,163.60,95.22
39,6.19,157.00,88.81
40,6.21,187.65,112.56
41,6.23,180.83,105.87
42,6.25,174.07,99.29
43,6.27,167.38,92.83
44,6.29,195.64,116.66
45,6.31,188.77,109.92
46,6.33,181.96,103.29
47,6.35,175.21,96.77
48,6.37,199.28,121.70
49,6.39,192.39,114.91
50,6.41,185.56,108.21
51,6.43,178.79,101.62
52,6.45,199.66,126.43
53,6.47,192.78,119.58
54,6.49,185.97,112.83
55,6.51,179.21,106.18
56,6.53,199.69,131.09
57,6.55,192.82,124.19
58,6.57,186.02,117.39
59,6.59,179.28,110.69
60,6.62,199.60,134.91
61,6.64,192.75,127.97
62,6.66,185.97,121.13
63,6.68,179.24,114.38
64,6.70,199.70,138.83
65,6.72,192.87,131.86
66,6.74,186.09,124.97
67,6.76,179.38,118.18
68,6.78,199.78,143.95
69,6.80,192.96,136.92
70,6.83,186.20,129.99
71,6.85,179.51,123.14
72,6.87,199.71,147.71
73,6.89,192.90,140.65
74,6.91,186.16,133.68
75,6.93,179.48,126.80
76,6.95,199.70,151.73
77,6.97,192.91,144.64
78,6.99,186.18,137.63
79,7.01,179.51,130.71
80,7.03,199.78,156.45
81,7.05,193.01,149.32
82,7.07,186.29,142.27
83,7.09,179.63,135.30
84,7.11,199.80,161.53
85,7.13,193.04,154.35
86,7.15,186.34,147.25
87,7.17,179.69,140.23
88,7.19,199.89,166.01
89,7.20,193.14,158.79
90,7.22,186.45,151.65
91,7.24,179.81,144.59
92,7.25,199.71,170.32
93,7.27,192.97,163.07
94,7.28,186.29,155.89
95,7.30,179.67,148.80
96,7.31,199.80,175.56
97,7.32,193.07,168.27
98,7.34,186.40,161.04
99,7.35,179.78,153.90
100,7.36,199.88,181.47
101,7.37,193.15,174.13
102,7.38,186.49,166.85
103,7.39,179.88,159.65
104,7.39,199.69,185.85
105,7.40,192.97,178.46
106,7.41,186.31,171.15
107,7.42,179.71,163.91
108,7.42,199.81,189.92
109,7.42,193.09,182.50
110,7.43,186.44,175.16
111,7.44,179.84,167.88
112,7.44,199.76,194.47
113,7.44,193.05,187.02
114,7.44,186.39,179.63
115,7.45,179.80,172.31
116,7.45,199.82,199.52
117,7.45,193.11,192.02
118,7.45,186.45,184.58
119,7.45,179.86,177.22
120,7.45,199.83,203.83
121,7.45,193.12,196.29
122,7.45,186.47,188.82
123,7.45,179.87,181.42
124,7.44,199.85,208.33
125,7.44,193.13,200.76
126,7.44,186.48,193.25
127,7.43,179.88,185.80
128,7.43,199.89,212.68
129,7.42,193.18,205.07
130,7.42,186.52,197.52
131,7.41,179.92,190.03
132,7.41,199.90,216.64
133,7.40,193.18,208.99
134,7.39,186.52,201.41
135,7.39,179.92,193.89
136,7.38,199.82,220.00
137,7.37,193.10,212.32
138,7.36,186.43,204.71
139,7.36,179.82,197.15
140,7.35,199.88,223.42
141,7.34,193.16,215.71
142,7.33,186.49,208.06
143,7.32,179.87,200.47
144,7.31,199.80,226.66
145,7.30,193.07,218.92
146,7.28,186.39,211.25
147,7.27,179.77,203.63
148,7.26,199.89,230.58
149,7.25,193.15,222.81
150,7.24,186.47,215.10
151,7.22,179.84,207.44
152,7.21,199.78,233.05
153,7.20,193.04,225.25
154,7.18,186.35,217.51
155,7.17,179.71,209.83
156,7.16,199.93,235.63
157,7.14,193.18,227.81
158,7.13,186.48,220.05
159,7.11,179.83,212.34
160,7.10,199.86,237.60
161,7.08,193.09,229.76
162,7.07,186.38,221.97
163,7.05,179.73,214.24
164,7.04,199.82,239.19
165,7.02,193.05,231.32
166,7.01,186.33,223.52
167,6.99,179.67,215.76
168,6.97,199.72,240.03
169,6.96,192.93,232.15
170,6.94,186.21,224.33
171,6.93,179.53,216.56
172,6.91,199.74,240.82
173,6.89,192.94,232.92
174,6.88,186.20,225.09
175,6.86,179.52,217.30
176,6.84,199.76,241.44
177,6.83,192.96,233.54
178,6.81,186.21,225.69
179,6.79,179.51,217.89
180,6.78,199.82,242.25
181,6.76,193.01,234.33
182,6.74,186.24,226.46
183,6.73,179.54,218.65
184,6.71,199.68,242.21
185,6.69,192.86,234.28
186,6.68,186.08,226.40
187,6.66,179.37,218.58
188,6.64,199.70,241.90
189,6.63,192.86,233.96
190,6.61,186.07,226.08
191,6.59,179.35,218.26
192,6.57,199.88,242.68
193,6.56,193.03,234.73
194,6.54,186.23,226.83
195,6.52,179.48,218.99
196,6.51,199.74,242.49
197,6.49,192.88,234.53
198,6.47,186.07,226.62
199,6.45,179.32,218.77
200,6.44,199.61,242.62
201,6.42,192.74,234.65
202,6.40,185.91,226.73
203,6.39,179.15,218.87
204,6.37,199.85,242.35
205,6.35,192.96,234.37
206,6.34,186.12,226.44
207,6.32,179.34,218.57
208,6.30,199.85,242.21
209,6.28,192.95,234.22
210,6.27,186.10,226.29
211,6.25,179.31,218.41
212,6.23,199.89,241.56
213,6.22,192.97,233.56
214,6.20,186.11,225.63
215,6.18,179.30,217.74
216,6.17,199.75,241.02
217,6.15,192.82,233.01
218,6.13,185.95,225.07
219,6.12,179.14,217.18
220,6.10,199.79,239.95
221,6.09,192.85,231.95
222,6.07,185.97,224.00
223,6.05,179.14,216.11
224,6.04,199.83,239.09
225,6.02,192.88,231.08
226,6.01,185.98,223.13
227,5.99,179.14,215.24
228,5.98,199.60,237.34
229,5.96,192.64,229.33
230,5.95,185.73,221.39
231,5.93,178.88,213.50
232,5.92,199.80,235.67
233,5.90,192.82,227.67
234,5.89,185.90,219.72
235,5.87,179.04,211.84
236,5.86,199.48,232.74
237,5.85,192.49,224.75
238,5.83,185.56,216.82
239,5.82,178.69,208.95
240,5.81,199.69,230.31
241,5.79,192.69,222.33
242,5.78,185.74,214.41
243,5.77,178.86,206.55
244,5.76,199.57,227.79
245,5.75,192.57,219.82
246,5.73,185.61,211.91
247,5.72,178.72,204.07
248,5.71,199.47,224.88
249,5.70,192.45,216.92
250,5.69,185.49,209.03
251,5.68,178.59,201.20
252,5.67,199.19,221.11
253,5.66,192.17,213.18
254,5.65,185.20,205.31
255,5.65,178.30,197.50
256,5.64,199.22,217.91
257,5.63,192.19,210.00
258,5.62,185.22,202.15
259,5.62,178.30,194.36
260,5.61,199.79,215.72
261,5.60,192.74,207.83
262,5.60,185.76,199.99
263,5.59,178.84,192.22
264,5.58,199.43,213.01
265,5.58,192.38,205.13
266,5.57,185.40,197.31
267,5.57,178.47,189.56
268,5.56,199.53,210.07
269,5.56,192.48,202.21
270,5.55,185.49,194.42
