Day,Muscle Mass,Anabolic Hormone,Catabolic Hormone
0,8.70,50.00,52.00
1,8.70,50.00,52.00
2,8.70,78.28,72.93
3,8.71,73.27,67.30
4,8.72,102.04,88.65
5,8.74,96.60,82.67
6,8.75,123.32,102.39
7,8.77,117.58,96.17
8,8.79,146.02,117.26
9,8.81,140.00,110.81
10,8.83,163.66,128.10
11,8.85,157.45,121.50
12,8.87,184.16,142.23
13,8.89,177.77,135.46
14,8.91,196.65,154.85
15,8.93,190.14,147.94
16,8.95,199.73,166.67
17,8.96,193.21,159.63
18,8.97,199.90,180.12
19,8.98,193.38,172.95
20,8.99,199.91,191.09
21,8.99,193.39,183.82
22,8.99,199.91,202.47
23,8.99,193.39,195.10
24,8.99,199.83,213.72
25,8.98,193.31,206.25
26,8.97,199.77,225.48
27,8.96,193.25,217.93
28,8.94,199.92,237.67
29,8.93,193.40,230.02
30,8.91,199.83,245.51
31,8.89,193.30,237.79
32,8.87,199.92,248.14
33,8.86,193.39,240.41
34,8.84,199.85,249.10
35,8.82,193.31,241.35
36,8.80,199.94,249.41
37,8.78,193.39,241.66
38,8.76,199.88,249.49
39,8.74,193.33,241.73
40,8.72,199.84,249.49
41,8.70,193.29,241.73
42,8.68,199.69,249.12
43,8.66,193.14,241.35
44,8.64,199.77,249.21
45,8.62,193.21,241.44
46,8.60,199.81,249.17
47,8.59,193.24,241.40
48,8.57,199.80,249.32
49,8.55,193.22,241.54
50,8.53,199.88,249.28
51,8.51,193.30,241.50
52,8.49,199.79,249.20
53,8.47,193.20,241.41
54,8.45,199.52,248.65
55,8.43,192.94,240.87
56,8.41,199.92,249.39
57,8.39,193.33,241.59
58,8.37,199.88,249.51
59,8.35,193.28,241.71
60,8.33,199.89,249.43
61,8.32,193.28,241.63
62,8.30,199.71,249.27
63,8.28,193.10,241.46
64,8.26,199.63,248.92
65,8.24,193.02,241.11
66,8.22,199.86,249.20
67,8.20,193.24,241.39
68,8.18,199.77,249.02
69,8.16,193.14,241.20
70,8.14,199.84,249.39
71,8.12,193.20,241.56
72,8.10,199.88,249.45
73,8.08,193.24,241.62
74,8.06,199.83,249.28
75,8.05,193.18,241.45
76,8.03,199.52,248.84
77,8.01,192.87,241.00
78,7.99,199.92,249.29
79,7.97,193.26,241.45
80,7.95,199.88,249.34
81,7.93,193.21,241.49
82,7.91,199.69,249.08
83,7.89,193.02,241.22
84,7.87,199.71,249.06
85,7.85,193.03,241.20
86,7.83,199.60,248.78
87,7.81,192.91,240.92
88,7.80,199.63,249.01
89,7.78,192.94,241.14
90,7.76,199.72,249.03
91,7.74,193.02,241.15
92,7.72,199.63,248.78
93,7.70,192.93,240.90
94,7.68,199.74,248.97
95,7.66,193.03,241.09
96,7.64,199.75,248.99
97,7.62,193.04,241.10
98,7.60,199.54,248.64
99,7.58,192.82,240.75
100,7.56,199.67,248.78
101,7.55,192.94,240.89
102,7.53,199.69,248.94
103,7.51,192.96,241.03
104,7.49,199.60,248.57
105,7.47,192.86,240.66
106,7.45,199.70,248.77
107,7.43,192.96,240.86
108,7.41,199.62,248.77
109,7.39,192.87,240.85
110,7.37,199.65,248.81
111,7.35,192.89,240.89
112,7.33,199.76,249.10
113,7.31,193.00,241.18
114,7.30,199.74,248.79
115,7.28,192.97,240.86
116,7.26,199.75,248.94
117,7.24,192.97,241.01
118,7.22,199.56,248.67
119,7.20,192.78,240.73
120,7.18,199.57,248.77
121,7.16,192.78,240.83
122,7.14,199.70,248.90
123,7.12,192.91,240.95
124,7.10,199.58,248.48
125,7.08,192.77,240.52
126,7.07,199.83,248.94
127,7.05,193.02,240.98
128,7.03,199.86,249.18
129,7.01,193.04,241.21
130,6.99,199.68,248.85
131,6.97,192.86,240.87
132,6.95,199.69,248.92
133,6.93,192.86,240.94
134,6.91,199.79,249.06
135,6.89,192.95,241.07
136,6.87,199.57,248.87
137,6.85,192.72,240.87
138,6.83,199.45,248.35
139,6.82,192.60,240.35
140,6.80,199.73,248.47
141,6.78,192.87,240.47
142,6.76,199.80,248.94
143,6.74,192.93,240.93
144,6.72,199.58,248.73
145,6.70,192.70,240.72
146,6.68,199.34,248.29
147,6.66,192.46,240.27
148,6.64,199.51,248.17
149,6.62,192.63,240.15
150,6.61,199.57,248.24
151,6.59,192.67,240.21
152,6.57,199.31,248.10
153,6.55,192.41,240.07
154,6.53,199.77,248.55
155,6.51,192.85,240.51
156,6.49,199.41,248.08
157,6.47,192.49,240.04
158,6.45,199.45,248.03
159,6.43,192.52,239.98
160,6.41,199.39,247.66
161,6.40,192.45,239.61
162,6.38,199.78,248.54
163,6.36,192.83,240.47
164,6.34,199.78,248.56
165,6.32,192.82,240.49
166,6.30,199.76,248.74
167,6.28,192.80,240.66
168,6.26,199.55,248.43
169,6.24,192.58,240.35
170,6.22,199.12,247.59
171,6.20,192.15,239.51
172,6.19,199.59,248.05
173,6.17,192.61,239.95
174,6.15,199.37,247.87
175,6.13,192.38,239.77
176,6.11,199.58,248.13
177,6.09,192.58,240.02
178,6.07,199.55,248.32
179,6.05,192.54,240.21
180,6.03,199.64,248.04
181,6.01,192.62,239.91
182,6.00,199.54,247.89
183,5.98,192.52,239.76
184,5.96,199.79,248.64
185,5.94,192.75,240.50
186,5.92,199.54,248.32
187,5.90,192.50,240.17
188,5.88,199.28,247.61
189,5.86,192.23,239.46
190,5.84,198.84,246.49
191,5.82,191.78,238.34
192,5.81,199.16,246.55
193,5.79,192.10,238.39
194,5.77,199.45,246.76
195,5.75,192.37,238.60
196,5.73,199.46,247.00
197,5.71,192.37,238.83
198,5.69,199.34,246.85
199,5.68,192.24,238.67
200,5.66,199.51,246.80
201,5.64,192.41,238.61
202,5.62,199.17,246.35
203,5.60,192.06,238.16
204,5.58,199.10,246.42
205,5.57,191.97,238.22
206,5.55,198.98,245.59
207,5.53,191.85,237.39
208,5.51,198.90,244.87
209,5.49,191.76,236.67
210,5.47,199.02,244.97
211,5.46,191.87,236.76
212,5.44,199.12,245.09
213,5.42,191.96,236.87
214,5.40,199.00,245.02
215,5.38,191.83,236.79
216,5.37,198.94,244.80
217,5.35,191.76,236.57
218,5.33,199.20,245.14
219,5.31,192.02,236.90
220,5.30,198.73,244.34
221,5.28,191.54,236.10
222,5.26,199.07,243.94
223,5.24,191.86,235.69
224,5.23,198.65,243.25
225,5.21,191.44,234.99
226,5.19,198.70,243.26
227,5.17,191.48,235.00
228,5.16,198.49,242.94
229,5.14,191.26,234.67
230,5.12,198.50,242.07
231,5.10,191.26,233.80
232,5.09,198.53,241.99
233,5.07,191.28,233.72
234,5.05,198.63,242.31
235,5.04,191.37,234.03
236,5.02,198.11,240.98
237,5.00,190.84,232.70
238,4.99,198.21,241.47
239,4.97,190.93,233.18
240,4.95,198.28,241.46
241,4.94,190.99,233.16
242,4.92,198.84,241.85
243,4.90,191.54,233.54
244,4.89,198.42,240.47
245,4.87,191.12,232.16
246,4.86,197.93,240.04
247,4.84,190.62,231.72
248,4.82,198.85,241.20
249,4.81,191.52,232.87
250,4.79,197.86,239.02
251,4.78,190.53,230.70
252,4.76,198.18,239.18
253,4.75,190.84,230.86
254,4.73,197.77,238.21
255,4.72,190.43,229.88
256,4.70,197.56,237.12
257,4.69,190.20,228.79
258,4.67,197.30,235.97
259,4.66,189.94,227.64
260,4.64,197.67,235.60
261,4.63,190.30,227.27
262,4.61,197.25,233.74
263,4.60,189.87,225.42
264,4.59,197.77,233.23
265,4.57,190.38,224.90
266,4.56,197.12,231.86
267,4.55,189.73,223.54
268,4.53,197.02,230.39
269,4.52,189.62,222.08
270,4.51,196.48,227.87
271,4.50,189.08,219.56
272,4.49,197.00,227.37
273,4.48,189.59,219.07
274,4.46,196.90,226.79
275,4.45,189.48,218.48
276,4.44,196.25,224.66
277,4.43,188.83,216.37
278,4.42,197.10,224.28
279,4.41,189.67,215.99
280,4.40,196.63,222.71
281,4.39,189.20,214.42
282,4.38,197.01,222.42
283,4.37,189.57,214.13
