Day,Muscle Mass,Anabolic Hormone,Catabolic Hormone
0,5.49,50.00,52.00
1,5.49,50.00,52.00
2,5.48,50.00,52.00
3,5.48,50.00,52.00
4,5.48,50.00,52.00
5,5.48,80.32,74.56
6,5.49,74.75,68.47
7,5.50,69.31,62.52
8,5.51,63.98,56.73
9,5.52,58.79,52.51
10,5.53,87.99,74.30
11,5.55,82.29,68.22
12,5.57,76.70,62.29
13,5.59,71.23,56.52
14,5.60,65.88,52.49
15,5.62,96.49,75.51
16,5.64,90.66,69.41
17,5.66,84.93,63.47
18,5.67,79.31,57.69
19,5.69,73.81,53.03
20,5.71,104.11,75.88
21,5.73,98.17,69.80
22,5.75,92.33,63.86
23,5.76,86.59,58.08
24,5.78,80.97,53.40
25,5.80,112.05,76.95
26,5.82,106.01,70.86
27,5.84,100.07,64.91
28,5.86,94.22,59.13
29,5.87,88.47,54.17
30,5.89,120.28,78.35
31,5.91,114.14,72.24
32,5.93,108.09,66.27
33,5.95,102.13,60.45
34,5.96,96.27,54.99
35,5.98,128.02,79.20
36,6.00,121.79,73.09
37,6.02,115.65,67.11
38,6.04,109.60,61.28
39,6.05,103.64,55.70
40,6.07,134.06,78.91
41,6.09,127.78,72.82
42,6.11,121.58,66.86
43,6.13,115.46,61.06
44,6.15,109.44,55.63
45,6.16,139.86,78.91
46,6.18,133.53,72.83
47,6.20,127.28,66.89
48,6.22,121.11,61.13
49,6.24,115.02,55.92
50,6.26,147.18,80.61
51,6.27,140.78,74.51
52,6.29,134.46,68.54
53,6.31,128.21,62.72
54,6.33,122.05,57.09
55,6.35,155.48,82.82
56,6.37,149.00,76.68
57,6.39,142.60,70.68
58,6.40,136.27,64.82
59,6.42,130.03,59.11
60,6.44,163.87,85.20
61,6.46,157.33,79.03
62,6.48,150.85,72.99
63,6.50,144.45,67.09
64,6.51,138.12,61.34
65,6.53,169.48,85.47
66,6.55,162.90,79.31
67,6.57,156.38,73.28
68,6.59,149.94,67.40
69,6.61,143.57,61.69
70,6.63,176.38,87.06
71,6.65,169.75,80.89
72,6.66,163.18,74.84
73,6.68,156.68,68.92
74,6.70,150.26,63.15
75,6.72,183.69,89.29
76,6.74,177.01,83.08
77,6.76,170.39,77.00
78,6.78,163.84,71.04
79,6.79,157.35,65.23
80,6.81,188.53,90.31
81,6.83,181.82,84.10
82,6.85,175.17,78.01
83,6.87,168.59,72.05
84,6.89,162.07,66.23
85,6.91,191.73,90.87
86,6.93,185.00,84.66
87,6.95,178.34,78.57
88,6.97,171.74,72.61
89,6.98,165.21,66.79
90,7.00,196.27,93.35
91,7.02,189.52,87.10
92,7.04,182.84,80.97
93,7.06,176.21,74.98
94,7.08,169.65,69.11
95,7.10,198.67,96.10
96,7.12,191.92,89.82
97,7.14,185.23,83.65
98,7.16,178.60,77.61
99,7.17,172.03,71.70
100,7.19,199.48,99.21
101,7.21,192.74,92.88
102,7.23,186.06,86.67
103,7.25,179.43,80.58
104,7.27,172.87,74.61
105,7.29,199.26,101.53
106,7.31,192.54,95.18
107,7.33,185.87,88.93
108,7.35,179.27,82.81
109,7.37,172.72,76.81
110,7.39,199.45,104.60
111,7.41,192.74,98.21
112,7.43,186.08,91.93
113,7.45,179.49,85.76
114,7.47,172.96,79.71
115,7.49,199.53,106.88
116,7.51,192.83,100.46
117,7.53,186.20,94.15
118,7.55,179.62,87.95
119,7.57,173.10,81.87
120,7.59,199.44,110.05
121,7.61,192.76,103.59
122,7.63,186.14,97.24
123,7.65,179.57,91.00
124,7.67,173.07,84.87
125,7.69,199.49,112.52
126,7.71,192.83,106.04
127,7.73,186.22,99.66
128,7.75,179.67,93.39
129,7.76,173.18,87.23
130,7.79,199.72,116.20
131,7.81,193.06,109.68
132,7.83,186.46,103.25
133,7.85,179.93,96.93
134,7.87,173.46,90.72
135,7.89,199.58,119.54
136,7.91,192.95,112.98
137,7.93,186.36,106.51
138,7.95,179.84,100.15
139,7.97,173.39,93.90
140,7.99,199.79,123.53
141,8.01,193.17,116.93
142,8.03,186.60,110.41
143,8.05,180.09,104.00
144,8.07,173.64,97.69
145,8.09,199.64,126.48
146,8.11,193.03,119.84
147,8.13,186.48,113.30
148,8.15,179.99,106.85
149,8.17,173.56,100.51
150,8.19,199.59,129.23
151,8.21,192.99,122.57
152,8.23,186.46,116.00
153,8.25,179.98,109.52
154,8.27,173.56,103.15
155,8.30,199.60,132.16
156,8.32,193.02,125.47
157,8.34,186.50,118.87
158,8.36,180.03,112.37
159,8.38,173.63,105.96
160,8.40,199.67,136.04
161,8.42,193.10,129.31
162,8.44,186.59,122.67
163,8.46,180.14,116.13
164,8.48,173.75,109.68
165,8.50,199.86,140.31
166,8.53,193.30,133.54
167,8.55,186.80,126.86
168,8.57,180.36,120.27
169,8.59,173.98,113.77
170,8.61,199.48,142.99
171,8.63,192.94,136.20
172,8.65,186.46,129.49
173,8.67,180.04,122.87
174,8.69,173.68,116.35
175,8.71,199.50,145.59
176,8.74,192.98,138.78
177,8.76,186.51,132.05
178,8.78,180.10,125.41
179,8.80,173.75,118.86
180,8.82,199.84,149.76
181,8.84,193.32,142.91
182,8.86,186.87,136.14
183,8.88,180.47,129.46
184,8.90,174.13,122.87
185,8.93,199.62,152.84
186,8.95,193.12,145.96
187,8.97,186.68,139.17
188,8.99,180.30,132.46
189,9.01,173.97,125.84
190,9.03,199.43,154.99
191,9.05,192.94,148.10
192,9.07,186.51,141.30
193,9.09,180.14,134.57
194,9.11,173.84,127.93
195,9.13,199.65,157.92
196,9.15,193.17,151.01
197,9.17,186.75,144.18
198,9.19,180.40,137.43
199,9.21,174.10,130.77
200,9.23,199.84,162.60
201,9.25,193.38,155.65
202,9.27,186.97,148.78
203,9.29,180.63,141.98
204,9.31,174.34,135.27
205,9.33,199.81,166.87
206,9.34,193.36,159.88
207,9.36,186.96,152.97
208,9.38,180.62,146.14
209,9.40,174.34,139.38
210,9.41,199.49,169.12
211,9.43,193.05,162.12
212,9.44,186.67,155.20
213,9.46,180.34,148.34
214,9.48,174.08,141.57
215,9.49,199.84,173.51
216,9.50,193.41,166.47
217,9.52,187.04,159.51
218,9.53,180.72,152.62
219,9.55,174.45,145.80
220,9.56,199.74,178.19
221,9.57,193.32,171.11
222,9.58,186.95,164.11
223,9.59,180.64,157.17
224,9.60,174.38,150.31
225,9.61,199.60,181.29
226,9.62,193.19,174.18
227,9.63,186.82,167.15
228,9.64,180.52,160.19
229,9.65,174.27,153.31
230,9.66,199.77,185.81
231,9.67,193.36,178.67
232,9.67,187.00,171.60
233,9.68,180.70,164.60
234,9.69,174.46,157.67
235,9.70,199.74,189.51
236,9.70,193.34,182.34
237,9.71,186.98,175.24
238,9.71,180.69,168.20
239,9.72,174.45,161.24
240,9.72,199.50,192.54
241,9.73,193.10,185.35
242,9.73,186.75,178.22
243,9.74,180.46,171.15
244,9.74,174.22,164.16
245,9.74,199.88,196.70
246,9.74,193.48,189.47
247,9.75,187.13,182.31
248,9.75,180.84,175.21
249,9.75,174.60,168.18
250,9.75,199.88,200.78
251,9.75,193.48,193.51
252,9.75,187.13,186.31
253,9.75,180.84,179.17
254,9.75,174.60,172.11
255,9.75,199.72,203.58
256,9.75,193.32,196.29
257,9.75,186.98,189.06
258,9.75,180.68,181.90
259,9.75,174.45,174.81
260,9.75,199.60,205.54
